title,description,age_min,age_max,tags,cost,indoor_outdoor,season,players,duration_mins,source,fetched_at
Toddler Playgroup,Supervised play session for toddlers with age-appropriate toys and activities,1,3,"social, play, development",low,indoor,all,5-10,45,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Baby Music Class,"Introduction to music through songs, rhythm, and simple instruments",0,3,"music, sensory, creative",medium,indoor,all,5-15,30,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Toddler Storytime,"Interactive storytelling with pictures, props, and simple activities",2,4,"literacy, listening, creative",free,indoor,all,8-12,30,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Parent-Child Swim,Water introduction and basic swimming skills with parent supervision,1,3,"physical, water, safety",medium,indoor,all,8-15,30,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Preschool Arts and Crafts,"Creative art projects using various materials like paint, paper, and clay",4,6,"art, creative, fine_motor",low,indoor,all,10-15,60,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Nature Exploration Walk,"Guided outdoor walk to observe plants, animals, and natural features",4,7,"nature, science, outdoor",free,outdoor,spring,10-20,45,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Preschool Sports Sampler,Introduction to various sports through games and basic skills practice,4,6,"sports, physical, teamwork",low,both,all,12-20,60,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Cooking for Kids,Simple cooking activities teaching kitchen safety and healthy eating,5,8,"cooking, life_skills, nutrition",low,indoor,all,6-10,90,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Junior Soccer League,Organized soccer games and skills training for elementary students,7,10,"sports, teamwork, competition",medium,outdoor,spring,16-22,90,Recreation Programs Dataset,2025-11-21T10:22:05.880769
STEM Workshop,"Hands-on science, technology, engineering, and math activities",7,10,"STEM, learning, experiments",medium,indoor,all,10-15,120,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Drama Club,"Theater games, improvisation, and performance preparation",8,12,"theater, creative, confidence",low,indoor,all,12-20,90,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Outdoor Adventure Camp,"Hiking, camping skills, and nature activities",8,11,"outdoor, adventure, nature",high,outdoor,summer,15-25,240,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Teen Leadership Program,Developing leadership skills through workshops and community service,12,17,"leadership, community, development",free,both,all,10-20,120,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Digital Media Production,"Learn video editing, photography, and content creation",11,17,"technology, creative, media",medium,indoor,all,8-15,120,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Competitive Swimming,Advanced swimming techniques and competitive training,11,18,"sports, competition, fitness",medium,indoor,all,15-30,90,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Robotics Competition Prep,Build and program robots for regional competitions,12,17,"STEM, robotics, competition",high,indoor,all,4-8,150,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Teen Volunteer Corps,Organized community service and volunteer opportunities,13,18,"community, service, social",free,both,all,5-20,180,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Advanced Art Studio,Portfolio development and advanced techniques in various media,14,18,"art, creative, portfolio",medium,indoor,all,8-12,120,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Toddler Playgroup,Supervised play session for toddlers with age-appropriate toys and activities,2,2,"social, play, development",low,indoor,all,5-10,43,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Baby Music Class,"Introduction to music through songs, rhythm, and simple instruments",0,2,"music, sensory, creative",medium,indoor,all,5-15,29,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Toddler Storytime,"Interactive storytelling with pictures, props, and simple activities",3,5,"literacy, listening, creative",free,indoor,all,8-12,29,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Toddler Storytime,"Interactive storytelling with pictures, props, and simple activities",1,4,"literacy, listening, creative",free,indoor,all,8-12,28,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Parent-Child Swim,Water introduction and basic swimming skills with parent supervision,1,2,"physical, water, safety",medium,indoor,all,8-15,27,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Parent-Child Swim,Water introduction and basic swimming skills with parent supervision,1,4,"physical, water, safety",medium,indoor,all,8-15,28,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Preschool Arts and Crafts,"Creative art projects using various materials like paint, paper, and clay",5,7,"art, creative, fine_motor",low,indoor,all,10-15,61,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Preschool Arts and Crafts,"Creative art projects using various materials like paint, paper, and clay",3,6,"art, creative, fine_motor",low,indoor,all,10-15,63,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Nature Exploration Walk,"Guided outdoor walk to observe plants, animals, and natural features",4,6,"nature, science, outdoor",free,outdoor,spring,10-20,43,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Preschool Sports Sampler,Introduction to various sports through games and basic skills practice,5,7,"sports, physical, teamwork",low,both,all,12-20,60,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Preschool Sports Sampler,Introduction to various sports through games and basic skills practice,4,7,"sports, physical, teamwork",low,both,all,12-20,56,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Cooking for Kids,Simple cooking activities teaching kitchen safety and healthy eating,4,8,"cooking, life_skills, nutrition",low,indoor,all,6-10,93,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Junior Soccer League,Organized soccer games and skills training for elementary students,7,9,"sports, teamwork, competition",medium,outdoor,spring,16-22,89,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Junior Soccer League,Organized soccer games and skills training for elementary students,8,11,"sports, teamwork, competition",medium,outdoor,spring,16-22,98,Recreation Programs Dataset,2025-11-21T10:22:05.880769
STEM Workshop,"Hands-on science, technology, engineering, and math activities",6,9,"STEM, learning, experiments",medium,indoor,all,10-15,120,Recreation Programs Dataset,2025-11-21T10:22:05.880769
STEM Workshop,"Hands-on science, technology, engineering, and math activities",7,9,"STEM, learning, experiments",medium,indoor,all,10-15,111,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Drama Club,"Theater games, improvisation, and performance preparation",7,12,"theater, creative, confidence",low,indoor,all,12-20,81,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Outdoor Adventure Camp,"Hiking, camping skills, and nature activities",7,12,"outdoor, adventure, nature",high,outdoor,summer,15-25,224,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Outdoor Adventure Camp,"Hiking, camping skills, and nature activities",9,11,"outdoor, adventure, nature",high,outdoor,summer,15-25,252,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Teen Leadership Program,Developing leadership skills through workshops and community service,11,17,"leadership, community, development",free,both,all,10-20,114,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Digital Media Production,"Learn video editing, photography, and content creation",10,16,"technology, creative, media",medium,indoor,all,8-15,126,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Digital Media Production,"Learn video editing, photography, and content creation",11,16,"technology, creative, media",medium,indoor,all,8-15,110,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Competitive Swimming,Advanced swimming techniques and competitive training,12,18,"sports, competition, fitness",medium,indoor,all,15-30,98,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Robotics Competition Prep,Build and program robots for regional competitions,11,18,"STEM, robotics, competition",high,indoor,all,4-8,144,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Robotics Competition Prep,Build and program robots for regional competitions,13,17,"STEM, robotics, competition",high,indoor,all,4-8,146,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Teen Volunteer Corps,Organized community service and volunteer opportunities,12,17,"community, service, social",free,both,all,5-20,168,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Teen Volunteer Corps,Organized community service and volunteer opportunities,14,18,"community, service, social",free,both,all,5-20,176,Recreation Programs Dataset,2025-11-21T10:22:05.880769
Advanced Art Studio,Portfolio development and advanced techniques in various media,14,17,"art, creative, portfolio",medium,indoor,all,8-12,110,Recreation Programs Dataset,2025-11-21T10:22:05.880769
