title,description,age_min,age_max,tags,cost,indoor_outdoor,season,players,duration_mins,source,generated_at,generation_batch
Garden Planting Activity,Plant seeds in small pots and learn about plant growth and care,5,7,"nature, science, responsibility",low,outdoor,spring,1-4,50,generated_new_data,2025-11-20T21:16:20.052708,evaluation_batch_001
Weather Science Experiments,"Simple experiments to learn about rain, clouds, and wind using household materials",4,6,"science, learning, exploration",low,indoor,all,2-4,28,generated_new_data,2025-11-20T21:16:20.052701,evaluation_batch_001
Garden Planting Activity,Plant seeds in small pots and learn about plant growth and care,5,7,"nature, science, responsibility",low,outdoor,spring,1-4,42,generated_new_data,2025-11-20T21:16:20.052699,evaluation_batch_001
Coding with Block Programming,Learn basic programming concepts using visual block-based coding platforms,7,10,"technology, coding, logic",free,indoor,all,1,41,generated_new_data,2025-11-20T21:16:20.052725,evaluation_batch_001
Texture Discovery Box,"Explore different textures using household items like cotton, sandpaper, fabric, and sponges",1,3,"sensory, exploration, tactile",free,indoor,all,1-3,25,generated_new_data,2025-11-20T21:16:20.052656,evaluation_batch_001
Garden Planting Activity,Plant seeds in small pots and learn about plant growth and care,5,7,"nature, science, responsibility",low,outdoor,spring,1-4,40,generated_new_data,2025-11-20T21:16:20.052692,evaluation_batch_001
Debate Club Workshop,Practice public speaking and critical thinking through structured debates on current topics,12,16,"communication, critical_thinking, social",free,indoor,all,4-10,62,generated_new_data,2025-11-20T21:16:20.052749,evaluation_batch_001
Math Scavenger Hunt,Solve math problems to find clues leading to hidden treasure,7,9,"math, problem_solving, adventure",free,both,all,2-6,49,generated_new_data,2025-11-20T21:16:20.052727,evaluation_batch_001
Science Fair Project Planning,Design and execute a scientific experiment for science fair competition,13,17,"science, research, STEM",medium,indoor,all,1-2,125,generated_new_data,2025-11-20T21:16:20.052753,evaluation_batch_001
Simple Puzzle Play,Large piece puzzles with 3-5 pieces featuring animals or shapes,2,4,"cognitive, problem_solving, fine_motor",low,indoor,all,1,13,generated_new_data,2025-11-20T21:16:20.052663,evaluation_batch_001
Build a Bridge Challenge,"Use popsicle sticks, straws, and tape to build the strongest bridge",8,10,"engineering, STEM, creativity",low,indoor,all,2-4,61,generated_new_data,2025-11-20T21:16:20.052723,evaluation_batch_001
Simple Puzzle Play,Large piece puzzles with 3-5 pieces featuring animals or shapes,2,4,"cognitive, problem_solving, fine_motor",low,indoor,all,1,19,generated_new_data,2025-11-20T21:16:20.052680,evaluation_batch_001
Weather Science Experiments,"Simple experiments to learn about rain, clouds, and wind using household materials",4,6,"science, learning, exploration",low,indoor,all,2-4,30,generated_new_data,2025-11-20T21:16:20.052695,evaluation_batch_001
Debate Club Workshop,Practice public speaking and critical thinking through structured debates on current topics,12,16,"communication, critical_thinking, social",free,indoor,all,4-10,60,generated_new_data,2025-11-20T21:16:20.052735,evaluation_batch_001
Debate Club Workshop,Practice public speaking and critical thinking through structured debates on current topics,12,16,"communication, critical_thinking, social",free,indoor,all,4-10,63,generated_new_data,2025-11-20T21:16:20.052744,evaluation_batch_001
Color Sorting with Blocks,"Toddlers sort colorful blocks into matching colored buckets, developing color recognition and fine motor skills",2,3,"learning, fine_motor, cognitive",low,indoor,all,1-2,21,generated_new_data,2025-11-20T21:16:20.052677,evaluation_batch_001
Letter Hunt Adventure,Hide letter cards around the house and have children find them in alphabetical order,4,5,"literacy, learning, active",free,indoor,all,1-3,17,generated_new_data,2025-11-20T21:16:20.052704,evaluation_batch_001
Math Scavenger Hunt,Solve math problems to find clues leading to hidden treasure,7,9,"math, problem_solving, adventure",free,both,all,2-6,36,generated_new_data,2025-11-20T21:16:20.052720,evaluation_batch_001
Simple Puzzle Play,Large piece puzzles with 3-5 pieces featuring animals or shapes,2,4,"cognitive, problem_solving, fine_motor",low,indoor,all,1,19,generated_new_data,2025-11-20T21:16:20.052630,evaluation_batch_001
Photography Walk,Explore photography basics while taking nature and urban photos,11,17,"art, creativity, outdoor, technology",medium,outdoor,spring,1-5,95,generated_new_data,2025-11-20T21:16:20.052742,evaluation_batch_001
Texture Discovery Box,"Explore different textures using household items like cotton, sandpaper, fabric, and sponges",1,3,"sensory, exploration, tactile",free,indoor,all,1-3,28,generated_new_data,2025-11-20T21:16:20.052660,evaluation_batch_001
Garden Planting Activity,Plant seeds in small pots and learn about plant growth and care,5,7,"nature, science, responsibility",low,outdoor,spring,1-4,46,generated_new_data,2025-11-20T21:16:20.052686,evaluation_batch_001
Simple Puzzle Play,Large piece puzzles with 3-5 pieces featuring animals or shapes,2,4,"cognitive, problem_solving, fine_motor",low,indoor,all,1,15,generated_new_data,2025-11-20T21:16:20.052644,evaluation_batch_001
Math Scavenger Hunt,Solve math problems to find clues leading to hidden treasure,7,9,"math, problem_solving, adventure",free,both,all,2-6,45,generated_new_data,2025-11-20T21:16:20.052731,evaluation_batch_001
Build a Bridge Challenge,"Use popsicle sticks, straws, and tape to build the strongest bridge",8,10,"engineering, STEM, creativity",low,indoor,all,2-4,63,generated_new_data,2025-11-20T21:16:20.052712,evaluation_batch_001
Simple Puzzle Play,Large piece puzzles with 3-5 pieces featuring animals or shapes,2,4,"cognitive, problem_solving, fine_motor",low,indoor,all,1,13,generated_new_data,2025-11-20T21:16:20.052648,evaluation_batch_001
Science Fair Project Planning,Design and execute a scientific experiment for science fair competition,13,17,"science, research, STEM",medium,indoor,all,1-2,117,generated_new_data,2025-11-20T21:16:20.052733,evaluation_batch_001
Science Fair Project Planning,Design and execute a scientific experiment for science fair competition,13,17,"science, research, STEM",medium,indoor,all,1-2,118,generated_new_data,2025-11-20T21:16:20.052748,evaluation_batch_001
Color Sorting with Blocks,"Toddlers sort colorful blocks into matching colored buckets, developing color recognition and fine motor skills",2,3,"learning, fine_motor, cognitive",low,indoor,all,1-2,24,generated_new_data,2025-11-20T21:16:20.052653,evaluation_batch_001
Debate Club Workshop,Practice public speaking and critical thinking through structured debates on current topics,12,16,"communication, critical_thinking, social",free,indoor,all,4-10,70,generated_new_data,2025-11-20T21:16:20.052745,evaluation_batch_001
